t_s,hhmmss,type,detail,raw,t_rel_s
51859.0,14:24:19,init,refid=.INIT.,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,0.0
51919.0,14:25:19,init,refid=.INIT.,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,60.0
51980.0,14:26:20,init,refid=.INIT.,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,121.0
52040.0,14:27:20,init,refid=.INIT.,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,181.0
52100.0,14:28:20,init,refid=.INIT.,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,241.0
52160.0,14:29:20,init,refid=.INIT.,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,301.0
52400.0,14:33:20,selected_peer,serverntp,*serverntp       127.127.1.0      9 u   33   64   17   2.4372   0.8546   0.6747,541.0
52460.0,14:34:20,selected_peer,serverntp,*serverntp       127.127.1.0      9 u   27   64   37   1.6021   0.1876   0.3366,601.0
52520.0,14:35:20,selected_peer,serverntp,*serverntp       127.127.1.0      9 u   23   64   77   1.4168   0.2140   0.2907,661.0
52580.0,14:36:20,selected_peer,serverntp,*serverntp       127.127.1.0      9 u   18   64  177   1.4366   0.1165   0.3110,721.0
52640.0,14:37:20,selected_peer,serverntp,*serverntp       127.127.1.0      9 u   11   64  377   1.1466   0.2139   0.2484,781.0
52700.0,14:38:20,selected_peer,serverntp,*serverntp       127.127.1.0      9 u    4   64  377   1.3687   0.3599   0.2585,841.0
52760.0,14:39:20,selected_peer,serverntp,*serverntp       127.127.1.0      9 u    -   64  377   0.5557   0.1250   0.3026,901.0
52820.0,14:40:20,selected_peer,serverntp,*serverntp       127.127.1.0      9 u   60   64  377   0.5557   0.1250   0.3026,961.0
52880.0,14:41:20,selected_peer,serverntp,*serverntp       127.127.1.0      9 u   53   64  377   1.1466   0.2139   0.3128,1021.0
52940.0,14:42:20,selected_peer,serverntp,*serverntp       127.127.1.0      9 u   48   64  377   1.1466   0.2139   0.2232,1081.0
53000.0,14:43:20,selected_peer,serverntp,*serverntp       127.127.1.0      9 u   44   64  377   1.1466   0.2139   0.6601,1141.0
53060.0,14:44:20,selected_peer,serverntp,*serverntp       127.127.1.0      9 u   39   64  377   1.1466   0.2139   0.6605,1201.0
53120.0,14:45:20,selected_peer,serverntp,*serverntp       127.127.1.0      9 u   34   64  377   1.1158   0.3679   0.5994,1261.0
53181.0,14:46:21,selected_peer,serverntp,*serverntp       127.127.1.0      9 u   27   64  377   1.1158   0.3679   0.6041,1322.0
53241.0,14:47:21,selected_peer,serverntp,*serverntp       127.127.1.0      9 u   23   64  377   1.1158   0.3679   0.6043,1382.0
53301.0,14:48:21,selected_peer,serverntp,*serverntp       127.127.1.0      9 u   19   64  377   1.1158   0.3679   0.6705,1442.0
53361.0,14:49:21,selected_peer,serverntp,*serverntp       127.127.1.0      9 u   15   64  377   1.1158   0.3679   0.6641,1502.0
53421.0,14:50:21,selected_peer,serverntp,*serverntp       127.127.1.0      9 u   11   64  377   1.1158   0.3679   0.7285,1562.0
53481.0,14:51:21,selected_peer,serverntp,*serverntp       127.127.1.0      9 u    4   64  377   1.1158   0.3679   0.5728,1622.0
53541.0,14:52:21,selected_peer,serverntp,*serverntp       127.127.1.0      9 u   64   64  377   1.1158   0.3679   0.5728,1682.0
